category,sub_category,code,summary
Anesthesia,"CPT®00873,Under Anesthesia for Procedures on the Lower Abdomen",00873,"The provider performs anesthesia services for lithotripsy, extracorporeal shock wave, without water bath."
Anesthesia,"CPT®00880,Under Anesthesia for Procedures on the Lower Abdomen",00880,"The provider performs anesthesia services for procedures on major lower abdominal vessels, not otherwise specified."
Anesthesia,"CPT®00882,Under Anesthesia for Procedures on the Lower Abdomen",00882,"The provider performs anesthesia services for a procedure on major lower abdominal vessels, including inferior vena cava ligation."
Anesthesia,"CPT®00902,Under Anesthesia for Procedures on the Perineum",00902,The provider performs anesthesia services for a procedure involving the anus or rectum.
Anesthesia,"CPT®00904,Under Anesthesia for Procedures on the Perineum",00904,The provider performs anesthesia services for a radical (complete removal of all diseased tissue) perineal (the area around the genitali) procedure.
Anesthesia,"CPT®00906,Under Anesthesia for Procedures on the Perineum",00906,"The provider performs anesthesia services for a patient undergoing vulvectomy, which means excision of the external genitals of the female."
Anesthesia,"CPT®00908,Under Anesthesia for Procedures on the Perineum",00908,The provider performs anesthesia services for a patient undergoing perineal prostatectomy. In this procedure the surgical provider partially or completely removes the prostate gland by approaching it through the perineum.
Anesthesia,"CPT®00910,Under Anesthesia for Procedures on the Perineum",00910,"The provider performs anesthesia services for a patient undergoing transurethral procedures including urethrocystoscopy. The surgical provider may examine the organs of the urinary system from within by inserting a special device through the urethra, which is the external opening for urine outflow. This code is for procedures not specified by any other anesthesia code."
Anesthesia,"CPT®00912,Under Anesthesia for Procedures on the Perineum",00912,"The provider performs anesthesia services for a patient undergoing excision of one or more tumors within the bladder performed through the urethra, which is the opening for the outflow of urine."
Anesthesia,"CPT®00914,Under Anesthesia for Procedures on the Perineum",00914,"The provider performs anesthesia services for a patient undergoing removal of the prostate gland through the urethra, which is the opening for the outflow of urine."
Anesthesia,"CPT®00916,Under Anesthesia for Procedures on the Perineum",00916,"The provider performs anesthesia services for a patient requiring bleeding control following removal of a specific tissue accessed through the urethra, which is an opening for the outflow of urine."
Anesthesia,"CPT®00918,Under Anesthesia for Procedures on the Perineum",00918,"The provider performs anesthesia services for a patient undergoing fragmentation, manipulation, and/or removal of a ureteral calculus. The surgical provider accesses the ureter through the urethra, breaks and/or manipulates the stones within the urethra, and may take the stone out."
Anesthesia,"CPT®00920,Under Anesthesia for Procedures on the Perineum",00920,"The provider performs anesthesia services for a patient undergoing a procedure on male genitalia that is not specified by any other anesthesia code. As part of the procedure, the provider may incise the urethra, which is the opening for the outflow of urine."
Anesthesia,"CPT®00921,Under Anesthesia for Procedures on the Perineum",00921,"The provider performs anesthesia services for a patient undergoing vasectomy. The surgical provider excises the vas deferens, which is the duct that carries the male reproductive cells toward the penis. The provider can perform the procedure unilaterally, with removal of the vas deferens of one side, or bilaterally, involving the vas deferens of each side."
